day,equity,daily_return,exposure_ratio
20170630,51643.64,-0.009506,4.0000
20170703,51643.64,0.000000,0.0000
20170705,51134.06,-0.009867,4.0000
20170706,50594.86,-0.010545,3.1525
20170707,51603.01,0.019926,4.0000
20170710,51058.04,-0.010561,3.2582
20170711,50692.27,-0.007164,4.0000
20170712,50692.27,0.000000,0.0000
20170713,50213.10,-0.009453,4.0000
20170714,49704.01,-0.010138,4.0000
20170717,49412.85,-0.005858,4.0000
20170718,48888.37,-0.010614,3.5948
20170719,49230.25,0.006993,4.0000
20170720,49272.79,0.000864,4.0000
20170721,48919.42,-0.007172,4.0000
20170724,48622.47,-0.006070,4.0000
20170725,48246.85,-0.007725,4.0000
20170726,47995.05,-0.005219,4.0000
20170727,47693.11,-0.006291,4.0000
20170728,47693.11,0.000000,0.0000
20170731,47403.94,-0.006063,4.0000
20170801,47150.06,-0.005356,3.0861
20170802,47569.85,0.008903,4.0000
20170803,48209.25,0.013441,4.0000
20170804,47807.68,-0.008330,4.0000
20170807,47529.98,-0.005809,4.0000
20170808,47254.56,-0.005794,4.0000
20170809,46750.06,-0.010676,3.9906
20170810,46750.06,0.000000,0.0000
20170811,47265.38,0.011023,3.0497
20170814,47820.50,0.011745,4.0000
20170815,47820.50,0.000000,0.0000
20170816,47490.41,-0.006903,4.0000
20170817,47175.06,-0.006640,4.0000
20170818,46736.55,-0.009296,4.0000
20170821,46316.28,-0.008992,4.0000
20170822,47831.49,0.032714,4.0000
20170823,47831.49,0.000000,0.0000
20170824,47595.66,-0.004930,4.0000
20170825,47303.93,-0.006129,4.0000
20170828,46913.33,-0.008257,4.0000
20170829,48049.03,0.024209,2.5555
20170830,47674.56,-0.007793,4.0000
20170831,48713.01,0.021782,4.0000
20170901,48713.01,0.000000,0.0000
20170905,48246.52,-0.009576,4.0000
20170906,47731.58,-0.010673,3.9774
20170907,47377.73,-0.007413,4.0000
20170908,48502.22,0.023735,4.0000
20170911,48863.31,0.007445,4.0000
20170912,48570.45,-0.005993,4.0000
20170913,48251.74,-0.006562,4.0000
20170914,47802.32,-0.009314,4.0000
20170915,48197.13,0.008259,4.0000
20170918,48409.94,0.004415,4.0000
20170919,48409.94,0.000000,0.0000
20170920,48650.59,0.004971,4.0000
20170921,49360.88,0.014600,4.0000
20170922,48843.51,-0.010481,4.0000
20170925,48491.30,-0.007211,4.0000
20170926,47980.21,-0.010540,4.0000
20170927,47595.71,-0.008014,4.0000
20170928,47188.29,-0.008560,4.0000
20170929,46850.85,-0.007151,4.0000
20171002,46582.10,-0.005736,4.0000
20171003,46314.50,-0.005745,4.0000
20171004,46105.34,-0.004516,4.0000
20171005,45617.84,-0.010574,3.4189
20171006,46101.92,0.010612,4.0000
20171009,45890.26,-0.004591,4.0000
20171010,46139.15,0.005424,4.0000
20171011,45814.29,-0.007041,4.0000
20171012,45529.98,-0.006206,4.0000
20171013,45290.07,-0.005269,4.0000
20171016,45083.43,-0.004563,4.0000
20171017,44901.82,-0.004028,4.0000
20171018,45143.01,0.005372,4.0000
20171019,44663.90,-0.010613,3.6527
20171020,44411.99,-0.005640,4.0000
20171023,45709.44,0.029214,4.0000
20171024,45437.88,-0.005941,4.0000
20171025,45020.91,-0.009177,4.0000
20171026,44543.21,-0.010611,3.6453
20171027,44543.21,0.000000,0.0000
20171030,44119.28,-0.009517,4.0000
20171031,43828.28,-0.006596,4.0000
20171101,43598.19,-0.005250,4.0000
20171102,43252.79,-0.007922,4.0000
20171103,42808.80,-0.010265,4.0000
20171106,43096.84,0.006728,3.9830
20171107,42737.65,-0.008334,4.0000
20171108,43269.56,0.012446,4.0000
20171109,42941.80,-0.007575,4.0000
20171110,42650.12,-0.006793,4.0000
20171113,43216.74,0.013285,4.0000
20171114,42990.66,-0.005231,4.0000
20171115,42651.59,-0.007887,4.0000
20171116,43471.40,0.019221,3.7925
20171117,43471.40,0.000000,0.0000
20171120,43244.53,-0.005219,4.0000
20171121,44081.92,0.019364,4.0000
20171122,43944.80,-0.003111,4.0000
20171124,43944.80,0.000000,0.0000
20171127,43729.44,-0.004901,4.0000
20171128,43729.44,0.000000,0.0000
20171129,45734.51,0.045852,3.4239
20171130,45248.48,-0.010627,3.8167
20171201,44780.36,-0.010346,2.1059
20171204,46801.42,0.045133,2.9798
20171205,46679.52,-0.002604,1.7281
20171206,47199.11,0.011131,2.3306
20171207,47392.83,0.004104,3.1690
20171208,46889.81,-0.010614,3.7424
20171211,47620.74,0.015588,3.5635
20171212,47313.47,-0.006452,4.0000
20171213,46973.31,-0.007190,4.0000
20171214,46599.44,-0.007959,4.0000
20171215,46252.05,-0.007455,4.0000
20171218,45875.75,-0.008136,4.0000
20171219,46465.26,0.012850,4.0000
20171220,47086.46,0.013369,4.0000
20171221,46738.83,-0.007383,4.0000
20171222,46487.26,-0.005382,4.0000
20171226,46152.76,-0.007196,4.0000
20171227,45868.50,-0.006159,4.0000
20171228,46013.09,0.003152,4.0000
20171229,47022.17,0.021930,4.0000
20180102,47022.17,0.000000,0.0000
20180103,48250.54,0.026123,4.0000
20180104,47791.88,-0.009506,4.0000
20180105,47337.59,-0.009506,4.0000
20180108,47684.98,0.007339,4.0000
20180109,47424.15,-0.005470,4.0000
20180110,46924.39,-0.010538,3.3338
20180111,46678.84,-0.005233,4.0000
20180112,47956.06,0.027362,4.0000
20180116,47445.93,-0.010637,3.9837
20180117,46946.65,-0.010523,3.2455
20180118,46595.58,-0.007478,4.0000
20180119,46390.05,-0.004411,4.0000
20180122,46390.05,0.000000,0.0000
20180123,47122.38,0.015786,4.0000
20180124,46741.68,-0.008079,4.0000
20180125,47643.67,0.019297,4.0000
20180126,47643.67,0.000000,0.0000
20180129,47141.80,-0.010534,3.3542
20180130,46653.69,-0.010354,2.2308
20180131,46275.94,-0.008097,4.0000
20180201,45794.00,-0.010414,2.6084
20180202,45308.68,-0.010598,3.7499
20180205,44843.41,-0.010269,1.6747
20180206,45670.42,0.018442,0.6241
20180207,46216.53,0.011958,1.9516
20180208,51325.06,0.110535,2.6434
20180209,50796.11,-0.010306,1.8711
20180212,50271.50,-0.010328,2.0156
20180213,51105.78,0.016595,2.3107
20180214,52194.81,0.021309,1.0662
20180215,51651.20,-0.010415,2.5700
20180216,51101.80,-0.010637,3.9749
20180220,51405.80,0.005949,2.9105
20180221,50867.19,-0.010478,2.9886
20180222,50333.81,-0.010486,3.0378
20180223,49801.80,-0.010570,3.5634
20180226,50906.83,0.022188,3.6256
20180227,50365.51,-0.010634,3.9833
20180228,49973.57,-0.007782,4.0000
20180301,49454.10,-0.010395,2.4805
20180302,50781.59,0.026843,1.7085
20180305,52636.65,0.036530,3.0326
20180306,52195.39,-0.008383,4.0000
20180307,51652.21,-0.010407,2.5543
20180308,51148.58,-0.009750,4.0000
20180309,50772.44,-0.007354,4.0000
20180312,50439.03,-0.006567,4.0000
20180313,50041.35,-0.007884,4.0000
20180314,50552.03,0.010205,3.4023
20180315,50039.92,-0.010130,4.0000
20180316,49569.55,-0.009400,4.0000
20180319,50892.69,0.026692,3.0288
20180320,50353.78,-0.010589,4.0000
20180321,49904.50,-0.008923,4.0000
20180322,49377.76,-0.010555,3.4594
20180323,49377.76,0.000000,0.0000
20180326,48858.46,-0.010517,3.2037
20180327,52751.01,0.079670,2.2388
20180328,52209.70,-0.010262,1.6122
20180329,51668.47,-0.010366,2.2370
20180402,51129.73,-0.010427,2.6296
20180403,50597.75,-0.010404,2.4613
